DV,NPV,Offset,Estado,Marco,DF
0xDF39,0xD,0xF39,HIT,5,0x5F39
0x28364,0x28,0x364,FALLO,8,0x8364
0x3805F,0x38,0x5F,HIT,14,0xE05F
0x41F2D,0x41,0xF2D,FALLO,11,0xBF2D
0x279FA,0x27,0x9FA,FALLO,12,0xC9FA
0x2ADB0,0x2A,0xDB0,FALLO,13,0xDDB0
0x2F41C,0x2F,0x41C,HIT,1,0x141C
0x1F3F6,0x1F,0x3F6,FALLO,15,0xF3F6
0x7F92A,0x7F,0x92A,HIT,3,0x392A
0x8FCE,0x8,0xFCE,FALLO,0,0xFCE
0x31BE5,0x31,0xBE5,FALLO,9,0x9BE5
0x53F,0x0,0x53F,FALLO,10,0xA53F
0x7A64B,0x7A,0x64B,FALLO,14,0xE64B
0x16F64,0x16,0xF64,FALLO,1,0x1F64
0x2F382,0x2F,0x382,FALLO,2,0x2382
0x2CB4,0x2,0xCB4,FALLO,3,0x3CB4
0x5C623,0x5C,0x623,FALLO,4,0x4623
0x6996B,0x69,0x96B,FALLO,5,0x596B
0x43FE,0x4,0x3FE,FALLO,6,0x63FE
0x1CB2,0x1,0xCB2,FALLO,7,0x7CB2
0xEB3F,0xE,0xB3F,FALLO,8,0x8B3F
0x739D7,0x73,0x9D7,FALLO,11,0xB9D7
0x5F20,0x5,0xF20,FALLO,12,0xCF20
0x19569,0x19,0x569,FALLO,13,0xD569
0x3D51D,0x3D,0x51D,FALLO,15,0xF51D
0x59E1C,0x59,0xE1C,FALLO,0,0xE1C
0x51F76,0x51,0xF76,FALLO,9,0x9F76
0x44B38,0x44,0xB38,FALLO,10,0xAB38
0x1ED04,0x1E,0xD04,FALLO,14,0xED04
0x50E37,0x50,0xE37,FALLO,1,0x1E37
0x31C44,0x31,0xC44,FALLO,2,0x2C44
0x289B5,0x28,0x9B5,FALLO,3,0x39B5
0x12825,0x12,0x825,FALLO,4,0x4825
0x54CAD,0x54,0xCAD,FALLO,5,0x5CAD
0x2A14B,0x2A,0x14B,FALLO,6,0x614B
0x40419,0x40,0x419,FALLO,7,0x7419
0x17FA5,0x17,0xFA5,FALLO,8,0x8FA5
